;;;;;;
description-module-collectorgravpos;;Generates $b$$SENSORVALUE$$/b$ $energy$ whenever $grav+$ is applied to a player character.;有角色受到$grav+$时，产出$b$$SENSORVALUE$$/b$$energy$。;$grav+$がプレイヤーキャラクターに適用されるたびに、$b$$SENSORVALUE$$/b$ $energy$を生成します。;플레이어 캐릭터에게 $grav+$가 적용될 때마다 $b$$SENSORVALUE$$/b$ $energy$를 생산합니다.;
description-module-collectorhealing;;Generates $b$$SENSORVALUE$$/b$ $energy$ whenever a player character is healed.;有角色受到治疗时，产出$b$$SENSORVALUE$$/b$$energy$。;プレイヤーキャラクターが回復するたびに、$b$$SENSORVALUE$$/b$ $energy$を生成します。;플레이어 캐릭터가 치유될 때마다 $b$$SENSORVALUE$$/b$ $energy$를 생산합니다.;
description-module-collectorkill;;Generates $b$$SENSORVALUE$$/b$ $energy$ whenever a combatant dies.;有参战单位死亡时，产出$b$$SENSORVALUE$$/b$$energy$。;戦闘員が死亡すると $b$$SENSORVALUE$$/b$ $energy$を生成します。;전투원이 죽을 때마다 $b$$SENSORVALUE$$/b$ $energy$를 생산합니다.;
description-module-collectormodulecreation;;Generates $b$$SENSORVALUE$$/b$ $energy$ whenever a module is constructed.;任意模块被制造时，产出$b$$SENSORVALUE$$/b$$energy$。;モジュールが構築されると、$b$$SENSORVALUE$$/b$ $energy$を生成します。;모듈이 조립될 때마다 $b$$SENSORVALUE$$/b$ $energy$를 생산합니다.;
description-module-collectorplasma;;Generates $b$$SENSORVALUE$$/b$ $energy$ whenever $plasma$ is created.;产生$plasma$时，产出$b$$SENSORVALUE$$/b$$energy$。;プラズマが生成されると、$b$$SENSORVALUE$$/b$ $energy$を生成します。;$plasma$가 생성될 때마다 $b$$SENSORVALUE$$/b$ $energy$를 생산합니다.;
description-module-collectortrauma;;Generates $b$$SENSORVALUE$$/b$ $energy$ whenever a player character takes $damage$.;有角色受到$damage$时，产出$b$$SENSORVALUE$$/b$$energy$。;プレイヤーキャラクターが$damage$を受けるたびに、$b$$SENSORVALUE$$/b$ $energy$を生成します。;플레이어 캐릭터가 $damage$를 입을 때마다 $b$$SENSORVALUE$$/b$ $energy$를 생산합니다.;
description-module-condensator;;Can be charged or discharged.$p$Incoming $energy$ is amplified by $b$$MODIFICATIONVALUE$$/b$.;可充放能量。$p$传入的$energy$放大$b$$MODIFICATIONVALUE$$/b$。;充電または放電可能。$p$入力される$energy$は$b$$MODIFICATIONVALUE$$/b$で増幅されます。;충전하거나 방전시킬 수 있습니다.$p$획득하는 $energy$가 $b$$MODIFICATIONVALUE$$/b$만큼 증폭됩니다.;
description-module-defibrillator;;Can be charged.$p$If a character becomes unconscious, they are revived with HP in height of its stored $energy$.;可充能。$p$如果有角色昏迷，则该角色复活时获得与储存$energy$等值的生命值。;充電可能。$p$キャラクターが気絶した場合、彼らは保存された $energy$ の高さで復活します。;충전할 수 있습니다.$p$캐릭터가 의식을 잃을 경우, 최대 저장된 $energy$에 달하는 체력을 지닌 채로 부활합니다.;
description-module-distributor;;Distributes $energy$ alternatingly over both output jacks, starting with the left one.;两个输出端口轮流产出$energy$，从左侧开始。;左側から始めて、両方の出力ジャックに交互に $energy$ を分配します。;왼쪽 잭부터 시작해, 두 출력 잭에 교대로 $energy$를 분배합니다.;
description-module-effectoraccelerator;;Inflicts any target with$br$$grav-$.;对任意目标施放$br$$grav-$。;ターゲットに$grav-$を与えます。;무작위 대상에게$br$$grav+$를 부여합니다.;
description-module-effectorblade;;Deals $damage$ to all enemies on the same time step as the owner.;对所有与拥有者处在同一时间步的敌人造成$damage$。;所有者と同じ時間ステップにいる敵に$damage$を与えます。;소유자와 동일한 시간 단계에 위치한 모든 적에게 $damage$를 줍니다;
description-module-effectorblaster;;Deals $damage$ to target enemy.;对目标敌人造成$damage$。;ターゲットの敵に$damage$を与えます。;대상 적에게 $damage$를 줍니다.;
description-module-effectordecelerator;;Inflicts any target with$br$$grav+$.;对任意目标施放$br$$grav+$。;ターゲットに$grav+$を与えます。;무작위 대상에게$br$$grav+$를 부여합니다.;
description-module-effectordeceleratorgatling;;For each point of $energy$$br$on this module:$br$[Inflict a random enemy with $grav+1$].;模块每拥有一点$energy$$br$，$br$就对任意一名敌人施放$grav+1$。;このモジュールの$energy$の各ポイントにつき、ランダムな敵に$grav+1$を与えます。;이 모듈이 보유한$br$$energy$ 포인트마다:$br$[무작위 적에게 $grav+1$를 부여합니다].;
description-module-effectordeceleratormelee;;Inflicts $grav+$ onto all enemies on the same time step as the owner.;对所有与拥有者处在同一时间步的敌人施放$grav+$。;所有者と同じ時間ステップにいる敵に$grav+$を与えます。;소유자와 동일한 시간 단계에 위치한 모든 적에게 $grav+$를 부여합니다.;
description-module-effectordeceleratorprecision;;For each point of $energy$$br$on this module:$br$[Inflict target combatant with $grav+1$].;模块每拥有一点$energy$$br$，$br$就对目标参战单位施放一次$grav+1$。;このモジュールの$energy$の各ポイントにつき、ターゲットの戦闘員に$grav+1$を与えます。;이 모듈이 보유한$br$$energy$ 포인트마다:$br$[대상 전투원에게 $grav+1$를 부여합니다].;
description-module-effectorgatlinggun;;For each point of $energy$ on this module:$br$[Deal $1damage$$br$to a random enemy].;模块每拥有一点$energy$，$br$就对任意一名敌人造成$1damage$。;このモジュールの$energy$の各ポイントにつき、ランダムな敵に$1damage$を与えます。;이 모듈이 보유한 $energy$ 포인트마다:$br$[무작위 적에게 $1damage$를 줍니다].;
description-module-effectorplasmaconverter;;Converts $energy$ into$br$valuable $plasma$.;将$energy$转化为$br$重要的$plasma$。;$energy$を有価な$plasma$に変換します。;$energy$를$br$귀중한 $plasma$로 변환합니다.;
description-module-effectorpotion;;Heals the owner.;治疗拥有者。;持ち主を癒す。;소유자를 치유합니다.;
description-module-effectorpotion-aoe;;Heals all allies.;治疗全部盟友。;全ての味方を癒す。;모든 아군을 치유합니다.;
description-module-effectorshield;;Applies $shield$ to target ally.$br$(Duration: $energy$×3).;为目标盟友施加$shield$。$br$（持续时间：$energy$×3)。;ターゲットの味方に$shield$を与えます。$br$(持続時間：$energy$×3)。;대상 아군에게 $shield$을 부여합니다.$br$(지속시간: $energy$×3).;
description-module-effectorshield-aoe;;Applies $shield$ to all allies.$br$(Duration: $energy$×3).;为全部盟友施加$shield$。$br$（持续时间：$energy$×3)。;全ての味方に$shield$を与えます。$br$(持続時間：$energy$×3)。;모든 아군에게 $shield$을 부여합니다.$br$(지속시간: $energy$×3).;
description-module-effectorvulnerability;;Inflicts target enemy with $vulnerable$.$br$(Duration: $energy$×3).;对目标敌人施放$vulnerable$。$br$（持续时间：$energy$×3)。;対象の敵に$vulnerable$を与えます。$br$（持続時間：$energy$ ×3）。;대상 적에게 $vulnerable$을 부여합니다.$br$(지속시간: $energy$×3).;
description-module-factorypotion;;Constructs a universal $b$Healing Potion$/b$ with $cracked$.;制造一个$cracked$破损的通用$b$治疗药剂$/b$。;一般的な $b$回復薬$/b$を作ります。;$cracked$ 상태의 범용 $b$치유 물약$/b$을 조립합니다.;
description-module-factorystoragecell;;Constructs a universal $b$Storage Cell$/b$ with $cracked$.;制造一个$cracked$破损的通用$b$储存单元$/b$。;一般的な$b$电池$/b$を作ります。;$cracked$ 상태의 범용 $b$축전지$/b$를 조립합니다.;
description-module-generator;;Generates $b$$GENERATIONVALUE$$/b$ $energy$$br$on activation.;激活时产出$b$$GENERATIONVALUE$$/b$$energy$$br$。;起動時に$b$$GENERATIONVALUE$$/b$ $energy$を生成します。;활성화 시$br$$b$$GENERATIONVALUE$$/b$ $energy$를 생성합니다.;
description-module-generatordecelerating;;Generates $b$$GENERATIONVALUE$$/b$ $energy$$br$on activation.;激活时产出$b$$GENERATIONVALUE$$/b$$energy$$br$。;起動時に$b$$GENERATIONVALUE$$/b$ $energy$を生成します。;활성화 시$br$$b$$GENERATIONVALUE$$/b$ $energy$를 생성합니다.;
description-module-generatordirty;;Generates $b$$GENERATIONVALUE$$/b$ $energy$$br$on activation.;激活时产出$b$$GENERATIONVALUE$$/b$$energy$$br$。;起動時に$b$$GENERATIONVALUE$$/b$ $energy$を生成します。;활성화 시$br$$b$$GENERATIONVALUE$$/b$ $energy$를 생성합니다.;
description-module-generatordual;;Generates $b$$GENERATIONVALUE$$/b$ $energy$ on both output jacks on activation.;激活时两个输出端口同时产出$b$$GENERATIONVALUE$$/b$$energy$。;起動時に両方の出力ジャックから$b$$GENERATIONVALUE$$/b$ $energy$を生成します。;활성화 시$br$두 출력 잭에 $b$$GENERATIONVALUE$$/b$ $energy$를 생성합니다.;
description-module-generatoroverload;;Generates $b$$GENERATIONVALUE$$/b$ $energy$ on activation but will inflict the next module with $cooldown$.;激活时产出$b$$GENERATIONVALUE$$/b$$energy$但会使下个模块进入$cooldown$.;起動時に$b$$GENERATIONVALUE$$/b$ $energy$を生成しますが、次のモジュールに$cooldown$を与えます。;활성화 시$br$$b$$GENERATIONVALUE$$/b$ $energy$를 생성하지만, 다음 모듈을 $cooldown$ 상태로 만듭니다.;
